Date,BTC,ETH,SP500,VIX,EURUSD,GBPUSD
2019-09-01,9757.970703125,171.62942504882812,2906.27001953125,19.65999984741211,1.0991789102554321,1.21592378616333
2019-09-02,10346.7607421875,178.34735107421875,2906.27001953125,19.65999984741211,1.0991789102554321,1.21592378616333
2019-09-03,10623.5400390625,179.49932861328125,2906.27001953125,19.65999984741211,1.0968520641326904,1.2066656351089478
2019-09-04,10594.4931640625,175.99288940429688,2937.780029296875,17.329999923706055,1.0974539518356323,1.2090436220169067
2019-09-05,10575.533203125,174.21713256835938,2976.0,16.270000457763672,1.10349702835083,1.2248897552490234
2019-09-06,10353.302734375,169.9561767578125,2978.7099609375,15.0,1.1036310195922852,1.2323921918869019
2019-09-07,10517.2548828125,178.2626190185547,2978.7099609375,15.0,1.1036310195922852,1.2323921918869019
2019-09-08,10441.2763671875,181.35552978515625,2978.7099609375,15.0,1.1036310195922852,1.2323921918869019
2019-09-09,10334.974609375,181.1494598388672,2978.429931640625,15.270000457763672,1.1020619869232178,1.2283051013946533
2019-09-10,10115.9755859375,179.78717041015625,2979.389892578125,15.199999809265137,1.1048381328582764,1.2345373630523682
2019-09-11,10178.3720703125,178.72549438476562,3000.929931640625,14.609999656677246,1.1050333976745605,1.2354830503463745
2019-09-12,10410.126953125,181.01609802246094,3009.570068359375,14.220000267028809,1.1013457775115967,1.233471393585205
2019-09-13,10360.546875,181.10972595214844,3007.389892578125,13.739999771118164,1.1058276891708374,1.2329391241073608
2019-09-14,10358.048828125,188.1055145263672,3007.389892578125,13.739999771118164,1.1058276891708374,1.2329391241073608
2019-09-15,10347.712890625,189.78912353515625,3007.389892578125,13.739999771118164,1.1058276891708374,1.2329391241073608
2019-09-16,10276.7939453125,197.11317443847656,2997.9599609375,14.670000076293945,1.1083402633666992,1.2497344017028809
2019-09-17,10241.2724609375,208.60874938964844,3005.699951171875,14.4399995803833,1.100594401359558,1.2428536415100098
2019-09-18,10198.248046875,211.39303588867188,3006.72998046875,13.949999809265137,1.1074687242507935,1.2502655982971191
2019-09-19,10266.4150390625,221.28085327148438,3006.7900390625,14.050000190734863,1.1031439304351807,1.247053861618042
2019-09-20,10181.6416015625,218.050048828125,2992.070068359375,15.319999694824219,1.1048502922058105,1.2525050640106201
2019-09-21,10019.716796875,215.51620483398438,2992.070068359375,15.319999694824219,1.1048502922058105,1.2525050640106201
2019-09-22,10070.392578125,211.54537963867188,2992.070068359375,15.319999694824219,1.1048502922058105,1.2525050640106201
2019-09-23,9729.32421875,201.9213104248047,2991.780029296875,14.90999984741211,1.1019041538238525,1.2471938133239746
2019-09-24,8620.56640625,168.11073303222656,2966.60009765625,17.049999237060547,1.0993722677230835,1.243456244468689
2019-09-25,8486.9931640625,170.8927001953125,2984.8701171875,15.960000038146973,1.1016855239868164,1.2485953569412231
2019-09-26,8118.9677734375,166.7271270751953,2977.6201171875,16.06999969482422,1.0952903032302856,1.2359564304351807
2019-09-27,8251.845703125,174.71099853515625,2961.7900390625,17.219999313354492,1.0922753810882568,1.2331976890563965
2019-09-28,8245.9150390625,174.57289123535156,2961.7900390625,17.219999313354492,1.0922753810882568,1.2331976890563965
2019-09-29,8104.185546875,170.50347900390625,2961.7900390625,17.219999313354492,1.0922753810882568,1.2331976890563965
2019-09-30,8293.8681640625,179.87220764160156,2976.739990234375,16.239999771118164,1.0942714214324951,1.2293167114257812
2019-10-01,8343.2763671875,177.34042358398438,2940.25,18.559999465942383,1.0899657011032104,1.2289994955062866
2019-10-02,8393.0419921875,180.71051025390625,2887.610107421875,20.559999465942383,1.0934937000274658,1.2292261123657227
2019-10-03,8259.9921875,175.1993408203125,2910.6298828125,19.1200008392334,1.0963709354400635,1.230436086654663
2019-10-04,8205.939453125,176.98500061035156,2952.010009765625,17.040000915527344,1.0975382328033447,1.2342326641082764
2019-10-05,8151.50048828125,176.3515167236328,2952.010009765625,17.040000915527344,1.0975382328033447,1.2342326641082764
2019-10-06,7988.15576171875,173.05914306640625,2952.010009765625,17.040000915527344,1.0975382328033447,1.2342326641082764
2019-10-07,8245.623046875,181.18634033203125,2938.7900390625,17.860000610351562,1.098659634590149,1.2334411144256592
2019-10-08,8228.783203125,182.0215606689453,2893.06005859375,20.280000686645508,1.0972130298614502,1.2288031578063965
2019-10-09,8595.740234375,193.2932586669922,2919.39990234375,18.639999389648438,1.0960105657577515,1.2219561338424683
2019-10-10,8586.4736328125,191.65966796875,2938.1298828125,17.56999969482422,1.0987803936004639,1.2212995290756226
2019-10-11,8321.7568359375,182.56968688964844,2970.27001953125,15.579999923706055,1.1011033058166504,1.2433171272277832
2019-10-12,8336.5556640625,180.82664489746094,2970.27001953125,15.579999923706055,1.1011033058166504,1.2433171272277832
2019-10-13,8321.005859375,182.0751495361328,2970.27001953125,15.579999923706055,1.1011033058166504,1.2433171272277832
2019-10-14,8374.6865234375,186.96090698242188,2966.14990234375,14.569999694824219,1.1030004024505615,1.261899709701538
2019-10-15,8205.369140625,181.40606689453125,2995.679931640625,13.539999961853027,1.1029006242752075,1.2611771821975708
2019-10-16,8047.52685546875,176.0135040283203,2989.68994140625,13.680000305175781,1.1034727096557617,1.2760635614395142
2019-10-17,8103.9111328125,178.02835083007812,2997.949951171875,13.789999961853027,1.107493281364441,1.2823801040649414
2019-10-18,7973.20751953125,173.621337890625,2986.199951171875,14.25,1.1127183437347412,1.286860466003418
2019-10-19,7988.560546875,172.91302490234375,2986.199951171875,14.25,1.1127183437347412,1.286860466003418
